Key	Wikidata ID	Description
Broxap, Ernest (historian)	Q64714316	Ernest Broxap
Bruce, A P C (historian)	Q87185695	Anthony Peter Charles Bruce. Bibliographer of military history.
Bruce, John (historian)	Q15994332	John Bruce
Bruce, John (literary scholar)	Q109908846	John Bruce.
Brunton, Douglas (historian)	Q87184154	Douglas Brunton
Brydon, Michael Andrew (historian)	Q109908847	Michael Andrew Brydon.
Buchanan, Brenda J (historian)	Q64177147	Brenda J. Buchanan. Historian of technology.
Buchanan, J E (historian)	Q109908848	J. E. Buchanan.
Buck, Andrew R (historian)	Q87185696	Andrew R. Buck
Bull, Stephen (historian)	Q87183672	Stephen Bull
Bulman, W J (historian)	Q87183592	William J. Bulman
Burchall, Michael John (historian)	Q87184927	Michael John Burchall
Burgess, Douglas R (historian)	Q5301284	Douglas R. Burgess Jr. Maritime and legal historian specialising in pirates.
Burgess, Glenn (historian)	Q63993117	Glenn Burgess
Burn, Andy (historian)	Q123668413	Andrew James Burn. aka Andy Burn. Not archaeologist ORCID 0000-0002-8776-7751
Burne, A H (historian)	Q4722389	Lt-Col Alfred Higgins Burne, army officer and military historian.
Burnett, A (literary scholar)	Q109908849	A. Burnett.
Burnett, Mark Thornton (literary scholar)	Q106806611	Mark Thornton Burnett.
Burton, Ben (literary scholar)	Q109908851	Benjamin Paris Burton, aka Ben Burton.
Burton, Frances J (historian)		Frances J. Burton. Thesis University of Edinburgh (1974): Insular societies in their economic setting: a study of the Western and Northern Islands of Scotland in the seventeenth century.
Butler, M H (literary scholar)	Q109908852	M. H. Butler.
Butler, Rachel (historian)	Q109908853	Rachel Butler.
Butler, Todd (historian)	Q87185698	Todd Butler
Butt, C R (historian)		C. R. Butt. Forenames may be Charles Richard. Local historian of Surrey. Was a child in WW2. Not the chemist C. R. M. Butt.
Cahill, Michael James (historian)	Q109908854	Michael James Cahill.
Calhoun, Craig (sociologist)	Q5180793	Craig Calhoun. Sociologist who has written about Habermas.
Calladine, Amy Louise (historian)	Q86982724	Amy Louise Calladine
Callaghan, D I (historian)		D. I. Callaghan. ''Midland History'' article on black history in West Midlands.
Cambers, Andrew (historian)	Q87185700	Andrew Cambers
Campbell, G (literary scholar)		G. Campbell. Thesis University of York (1973): The Intellect and the Imagination. - a study of the Relationship between Milton's De Doctrina Christiana and Paradise Lost.
Campbell, Mildred (historian)		Mildred Campbell. Book on English yeoman. Middle name may be Hall or Lucille.
Cannon, James P D (literary scholar)	Q109908856	James P. D. Cannon.
Capern, Amanda L (historian)	Q87185701	Amanda L. Capern
Capp, Bernard S (historian)	Q87184157	Bernard S. Capp
Carlin, Norah (historian)	Q87185703	Norah Carlin
Carlson, Heidi J (historian)	Q109908857	Heidi Julia Carlson.
Carlton, Charles (historian)	Q64007338	Charles Carlton
Carlyle, Thomas (author)	Q151403	Thomas Carlyle
Carpenter, Stanley D M (historian)	Q87183675	Stanley D. M. Carpenter
Carr, Antony (historian)	Q13125553	Antony Carr.
Carr, Ivor (historian)	Q87184159	Ivor Carr
Carrington, Charlotte V (historian)		Charlotte Victoria Carrington. Thesis University of Cambridge (2011): Dissent and identity in seventeenth-century New England.
Carroll, R A (historian)	Q87184161	R. A. Carroll
Carroll, Stuart (historian)	Q20630679	Stuart Carroll
Carruthers, Bob (historian)	Q14948897	Bob Carruthers. Military historian, film director and music producer/promoter.
Carter, Andrew (historian)		Andrew Carter. Article of battle of Chalgrove with John Stevenson.
Carter, Francoise M M (literary scholar)	Q109908858	Francoise Mary Marguerite Carter.
Carter, Mary P (historian)	Q109908859	Mary Patricia Carter.
Carter, Paul (historian)		Paul Carter. Thesis Middlesex University (1998): Enclosure resistance in Middlesex, 1656-1889: a study of common right assertion.
Catemario, Gabriella (historian)	Q109908860	Gabriella Catemario.
Cavert, William M (historian)	Q87184932	William M. Cavert
Caygill, H (historian)	Q109908861	H. Caygill.
Chadwyck-Healey, C E H (historian)	Q5076169	Sir Charles Edward Heley Chadwyck-Healey, 1st Baronet
Chalmers, Hero (literary scholar)	Q109908862	Hero Chalmers.
Champion, Justin (historian)	Q6317451	Justin Champion (1960-2020).
Chandler, John (historian)	Q126974748	John Howard Chandler. Librarian and local historian studying Wiltshire.
Chao, Tien-yi (literary scholar)	Q10542246	Tien-yi Chao.
Chapman, Geoffrey (historian)		Geoffrey Chapman. Siege of Lyme.
Charles, Lindsey (historian)	Q87185704	Lindsey Charles
Charlton, Tom (historian)	Q123668414	Tom Charlton. Editing new edition of Baxter.
Chartrand, Alix Geneviève (historian)	Q109908863	Alix Geneviève Chartrand
Chartres, J A (historian)	Q44420322	John Anthony Chartres. Social and economic historian.
Cheney, Christopher Robert (historian)	Q18592972	Christopher Robert Cheney. Author of ''Handbook of Dates''.
Chester, John (historian)		John Chester. Contributor to Midland History.
Chester, Joseph Lemuel (historian)	Q6284910	Joseph Lemuel Chester. Historian of London.
Childs, David J (historian)	Q122533989	David Julian Childs. Retired naval officer. Naval and military historian. Founder of National Memorial Arboretum
Childs, John (historian)	Q27207858	John Charles Roger Childs. Military historian, mostly post-Restoration.
Christie, W D (historian)	Q8007920	William Dougal Christie. British diplomat and author.
Chung, Youngkwon (historian)	Q87183594	Youngkwon Chung
Cirket, Alan F (historian)	Q87184934	Alan F. Cirket
Clare, Janet (literary scholar)	Q87185706	Janet Clare
Clark, Andrew (historian)		Andrew Clark. Edited Anthony Wood.
Clark, David (historian)	Q86982725	David Clark. Military historian and battlefield guide.
Clark, George Norman (historian)	Q5542931	George Norman Clark
Clark, J C D (historian)	Q15070154	Jonathan Charles Douglas Clark
Clark, Matthew (historian)		Matthew John Clark. Social historian. 2008 Cambridge thesis on authority in Essex and Middlesex. Article about River Lea toll disputes.
Clark, Peter (historian)	Q7173286	Peter Clark. Historian of London.
Clark, Richard (historian)	Q123668415	Richard Clark. ''Midland History'' article on Restoration church in Derbyshire.
Clarke, Danielle E (literary scholar)	Q57988061	Danielle Elizabeth Clarke.
Clarke, David R (historian)	Q109908865	David Robert Clarke.
Clarke, James Stanier (historian)	Q3161420	James Stanier Clarke
Clarkson, Leslie Albert (historian)	Q87185712	Leslie Albert Clarkson
Clay, C G A (historian)	Q87185714	Christopher G. A. Clay
Clay, John William (historian)	Q87184162	John William Clay
Clayton, Dorothy J (historian)	Q87185716	Dorothy J. Clayton
Clement, C (historian)	Q109908866	C. Clement.
Clements, John (historian)	Q109908868	John Clements.
Clifford, Caroline (historian)	Q87184936	Caroline Clifford
Clifford, David J H (historian)	Q87184170	David J. H. Clifford
Cliftlands, William (historian)	Q86982726	William Cliftlands. Thesis on county of Essex.
Clifton, R (historian)		R. Clifton. Thesis University of Oxford (1967): The fear of Catholics in England, 1637 to 1645: principally from central sources.
Clode, C M (historian)	Q54360649	Charles Matthew Clode
Coate, Mary (historian)	Q87184174	Mary Coate
Coates, Ben (historian)	Q87183677	Ben Coates
Coates, Charles (historian)	Q18518665	Charles Coates. Local historian of Reading, Berkshire. Not the theologist Charles Andrew Coates.
Coates, Wilson H (historian)	Q87184176	Wilson Havelock Coates
Coats, Ann V (historian)	Q109908869	Ann Veronica Coats.
Cobley, Jennifer (historian)	Q86982728	Jennifer Francis Cobley
Cockburn, J S (historian)	Q87184937	James Swanston Cockburn. Legal historian.
Cockle, M J D (historian)	Q87184939	Maurice James Draffen Cockle. Bibliographer of military books.
Coffey, John (historian)	Q15715715	John Coffey
Coffman, D'Maris (historian)	Q87184177	D'Maris Coffman. Financial historian.
Cogar, W B (historian)	Q109908870	W. B. Cogar.
Cogswell, Thomas (historian)	Q87185717	Thomas Cogswell
Cohen, Andrew B (literary scholar)	Q109908871	Andrew Benjamin Cohen.
Cokayne, George Edward (historian)	Q1238190	George Edward Cokayne (formerly Adams). Genealogist and herald. Author of ''The Complete Peerage''.
Colclough, David (historian)	Q61747372	David Colclough. Literary scholar who has written about history of sermons and free speech.
Cole, E J (historian)		E. J. Cole. Thesis University of Cambridge (2006): The cultural history of exotic fruits in England 1650-1820.
Cole, William Alan (historian)	Q59631421	William Alan Cole. Historian and economist.
Coleby, A M (historian)	Q109908872	A. M. Coleby.
Coleman, James (historian)	Q123668416	James Coleman. Local historian of Somerset active 1890s.
Collier, John Payne (historian)	Q2580079	John Payne Collier
Collins, Francis (historian)	Q123668417	Francis Collins. Local historian of Yorkshire.
Collins, John M (historian)	Q57437992	John M. Collins. Legal historian.
Collins, Richard John Massie (historian)	Q87184179	Richard John Massie Collins
Collinson, Patrick (historian)	Q7146256	Patrick Collinson
Colson, Justin (historian)	Q87185719	Justin Colson
Colvile, K N (historian)		K. N. Colvile. Thesis University of Edinburgh (1930): Scottish culture in the seventeenth century. Possibly Kenneth Newton Colvile (1884-1956), Wikidata Q76088906.
Como, David R (historian)	Q9202597	David R. Como
Condick, Frances M (historian)	Q109908873	Frances Margaret Condick.
Congost, Rosa (historian)	Q28708124	Maria Rosa Congost Colomer
Connor, Tim P (historian)	Q86982729	Tim P. Connor
Cooke, David (historian)	Q87183681	David Cooke. Historian of civil war in Yorkshire.
Cooke, G S (historian)		G. S. Cooke. Contributor to Journal of the Society for Army Historical Research.
Coombs, Sara (historian)		Sara Coombs. Compiled bibliography of Austin Woolrych.
Cooper, Dave (historian)		Dave Cooper. Local historian of Staffordshire.
Cooper, John Steel (historian)	Q87184181	John Steel Cooper. Historian of firearms.
Cooper, Nicholas (historian)	Q109673044	Nicholas H. Cooper. Architectural and local historian.
Cooper, Trevor (historian)	Q63977198	Trevor Cooper. Historian who has written about iconoclasm and William Dowsing.
Cooper, William Durrant (historian)	Q8008149	William Durrant Cooper
Cope, Esther S (historian)	Q87184182	Esther S. Cope
Cope, Joseph (historian)	Q87185721	Joseph Cope
Cope, Sophie (historian)	Q109908874	Sophie Cope.
Corfield, Penelope J (historian)	Q62559677	Penelope J. Corfield.
Cornell, Harriet J (historian)	Q109908875	Harriet Jane Cornell.
Corns, Thomas N (literary scholar)	Q55314942	Thomas Nicholas Corns.
Corsar, Kenneth C (historian)		Kenneth Charles Corsar. Contributor to Journal of the Society for Army Historical Research. Not clear if same as author of ''Primulas in the Garden'' or as Wikidata Q76339154.
Coss, Peter (historian)	Q7173401	Peter Coss
Costa, David (historian)	Q86982730	David Costa. Biographer of Sir Arthur Hesilrige.
Cotton, A N B (historian)		A. N. B. Cotton aka Anthony or Tony. Wrote article about Cromwell. Worked at Auckland, NZ. Possibly died 1976.
Cotton, Richard William (historian)	Q123668418	Richard William Cotton. Local historian of Devon.
Cotton, William (historian)	Q123668419	William Cotton. Local historian of Devon.
Counsell, Fiona A (historian)	Q109908877	Fiona Ann Counsell.
Couth, Bill (historian)	Q87184941	Bill Couth
Coward, Barry (historian)	Q20127855	Barry Coward
Cowie, Helen (historian)	Q88646834	Helen Louise Cowie. Historian studying animals.
Cowling, Jane (literary scholar)	Q109908878	Jane Cowling.
Coxe, Henry Octavius (historian)	Q1239304	Henry Octavius Coxe
Craib, Theodore (historian)	Q86911481	Theodore Craib. Local historian.
Craig, Heidi (historian)	Q86982732	Heidi Craig
Craig, Hugh (literary scholar)	Q61820327	D. Hugh Craig.
Crane, Ronald Salmon (historian)	Q7364762	Ronald Salmon Crane
Craven, Alex (historian)	Q87184942	Alexander J. Craven, usually known as Alex Craven.
Crawford, Anne (historian)	Q87184948	Anne Crawford
Crawford, Joseph (literary scholar)		Joseph Crawford. Thesis University of Oxford (2009): The Curious Case of Milton's Coffin: John Milton and the Sublime of Terror in the Early Romantic Period.
Crawford, Patricia (historian)	Q69542705	Patricia M. Crawford. Australian historian of women and gender. Sources differ over whether her middle name was Marcia or Mary.
Crawshaw, Tom (historian)		Thomas Blair Crawshaw, usually known as Tom. Thesis and article on finance of Essex's army.
Credland, Arthur G (historian)	Q124331941	Arthur G. Credland. Former curator of Hull Maritime Museum. Has published on whaling and archery.
Cressy, David (historian)	Q16728257	David Cressy
Cromartie, Alan (historian)	Q76134242	Alan Duncan Talbot Cromartie
Crosby, Alan (historian)	Q87185723	Alan Crosby. Palaeographer.
Crosby, Brian (literary scholar)	Q109908880	Brian Crosby.
Crossley, Ely Wilkinson (historian)	Q87184184	Ely Wilkinson Crossley
Crossley, James (historian)	Q6131966	James Crossley. Editor of Worthington’s diary.
Cruickshanks, Eveline (historian)	Q5416249	Eveline Cruickshanks
Crummett, J B (historian)	Q109908881	J. B. Crummett.
Cunnington, Edward Benjamin Howard (historian)	Q4885489	Edward Benjamin Howard Cunnington
Curth, Louise Hill (historian)	Q87184951	Louise Hill Curth
Cust, Richard P (historian)	Q87184952	Richard P. Cust
D'Monte, Rebecca A (literary scholar)	Q109908882	Rebecca Ann D'Monte.
Dabhoiwala, Faramerz Noshir (historian)	Q23061762	Faramerz Noshir Dabhoiwala
Daems, James W (literary scholar)	Q109908883	James William Daems.
Dale, Thomas Cyril (historian)	Q55092030	Thomas Cyril Dale. Genealogist specialising in London inhabitants.
Daly, Peter Maurice (historian)	Q87184188	Peter Maurice Daly. Art historian.
Daniels, Jason (historian)	Q109908884	Jason Daniels.
Darcy, Eamon (historian)	Q87185728	Eamon Darcy
Dasgupta, Anisha Sasheen (historian)		Anisha Sasheen Dasgupta. Thesis University of Cambridge (2003): Poverty, pauperism and parish relief in seventeenth-century intramural London.
Dasgupta, Rabindra Kumar (literary scholar)	Q7278749	Rabindra Kumar Dasgupta, aka Rabindra Kumar Das Gupta. Thesis University of Oxford (1957): Milton's theory of poetry.
Davies, C S L (historian)	Q88646835	Clifford Stephen Lloyd Davies
Davies, Christopher (historian)		Christopher Davies. Local historian studying Stamford, Lincolnshire.
Davies, Godfrey (historian)	Q5576413	Godfrey Davies
Davies, Matthew (historian)	Q55622465	Matthew Davies
Davies, Robert (historian)	Q15994395	Robert Davies. Edited Life of Marmaduke Rawdon.
Davies, Stevie (historian)	Q7615581	Stevie Davies
